voters,propositions,accuracy,adv_control,prop_corrupted,target_corrupted,elapsed_time
100,100,0.95,0.25,0,0,9387.19
20,100,0.8,0,0,0,1987.05
20,100,0.8,0,1,0,1897.43
20,100,0.8,0,0,0,1964.1
20,100,0.8,0,0,0,1936.72
20,100,0.8,0,0,0,2457.12
20,100,0.8,0.05,0,0,1744.86
20,100,0.8,0.05,0,0,1917.41
20,100,0.8,0.05,0,0,1644.19
20,100,0.8,0.05,0,0,1805.45
20,100,0.8,0.05,0,0,1759.11
20,100,0.8,0.25,15,1,1759.03
20,100,0.8,0.25,12,1,1910.7
20,100,0.8,0.25,15,0,4645.52
20,100,0.8,0.25,11,0,5364.26
20,100,0.8,0.25,15,0,5974.82
20,100,0.95,0.25,3,0,4754.43
20,100,0.95,0.25,1,0,4688.5
20,100,0.95,0.25,2,0,5901.75
20,100,0.95,0.25,4,0,4772.74
20,100,0.95,0.25,1,0,5073.07
20,100,0.95,0,0,0,6156.47
20,100,0.95,0,0,0,5915.23
20,100,0.95,0,0,0,7056.78
20,100,0.95,0,0,0,5827.31
20,100,0.95,0,0,0,4419.86
20,100,0.95,0.05,0,0,5651.16
20,100,0.95,0.05,0,0,5060.27
20,100,0.95,0.05,0,0,6137.83
20,100,0.95,0.05,0,0,5693.49
20,100,0.95,0.05,0,0,4808.38
20,100,0.8,0,0,0,4774.11
20,100,0.8,0,0,0,5149.68
20,100,0.8,0,0,0,5843.47
20,100,0.8,0,0,0,4847.89
20,100,0.8,0,0,0,6992.84
20,100,0.8,0.05,0,0,7819.06
20,100,0.8,0.05,0,0,7960.51
20,100,0.8,0.05,0,0,8018.1
20,100,0.8,0.05,0,0,6514.77
20,100,0.8,0.05,0,0,6021.43
20,100,0.8,0.25,15,0,5998.81
20,100,0.8,0.25,16,0,6600.79
20,100,0.8,0.25,12,0,6971.3
20,100,0.8,0.25,11,0,6479.21
20,100,0.8,0.25,12,0,6780.37
20,100,0.95,0,0,0,4739.7
20,100,0.95,0,0,0,4763.91
20,100,0.95,0,0,0,5803.12
20,100,0.95,0,0,0,5375.03
20,100,0.95,0,0,0,4708.04
20,100,0.95,0.05,0,0,4913.8
20,100,0.95,0.05,0,0,4811.17
20,100,0.95,0.05,0,0,5664.69
20,100,0.95,0.05,0,0,5493.68
20,100,0.95,0.05,0,0,4676.66
20,100,0.95,0.25,1,0,4803.52
20,100,0.95,0.25,2,0,5002.34
20,100,0.95,0.25,1,0,4635.82
20,100,0.95,0.25,3,0,4640.69
20,100,0.95,0.25,5,1,5449.33
20,100,0.8,0,0,0,8329.94
20,100,0.8,0,0,0,7764.72
20,100,0.8,0,0,0,8424.72
20,100,0.8,0,0,0,7128.99
20,100,0.8,0,0,0,6271.44
20,100,0.8,0,1,0,6279.46
20,100,0.8,0,0,0,6430.07
20,100,0.8,0,0,0,7015.64
20,100,0.8,0,0,0,6958.35
20,100,0.8,0,0,0,6429.55
20,100,0.8,0.05,0,0,6446.44
20,100,0.8,0.05,1,0,6068.54
20,100,0.8,0.05,0,0,6200.99
20,100,0.8,0.05,0,0,5784.82
20,100,0.8,0.05,3,0,6062.34
20,100,0.8,0.05,0,0,5719.7
20,100,0.8,0.05,0,0,6010.31
20,100,0.8,0.05,1,0,5605.09
20,100,0.8,0.05,0,0,5476.65
20,100,0.8,0.05,1,0,5051.23
20,100,0.8,0.25,13,0,5081.71
20,100,0.8,0.25,12,0,4581.62
20,100,0.8,0.25,15,1,5345.78
20,100,0.8,0.25,17,0,4808.04
20,100,0.8,0.25,24,0,4465.93
20,100,0.8,0.25,13,0,4606.95
20,100,0.8,0.25,12,0,5395.55
20,100,0.8,0.25,14,0,5453.0
20,100,0.8,0.25,15,1,5099.97
20,100,0.8,0.25,12,1,4977.46
20,100,0.95,0,0,0,5130.55
20,100,0.95,0,0,0,5045.94
20,100,0.95,0,0,0,4942.98
20,100,0.95,0,0,0,5210.77
20,100,0.95,0,0,0,5040.85
20,100,0.95,0,0,0,5308.62
20,100,0.95,0,0,0,4999.4
20,100,0.95,0,0,0,5062.2
20,100,0.95,0,0,0,5147.19
20,100,0.95,0,0,0,5129.76
20,100,0.95,0.05,0,0,5628.54
20,100,0.95,0.05,0,0,5107.85
20,100,0.95,0.05,0,0,4704.84
20,100,0.95,0.05,0,0,5110.4
20,100,0.95,0.05,0,0,5507.4
20,100,0.95,0.05,0,0,4948.89
20,100,0.95,0.05,0,0,4670.32
20,100,0.95,0.05,0,0,5270.71
20,100,0.95,0.05,0,0,4810.31
20,100,0.95,0.05,0,0,4965.92
20,100,0.95,0.25,1,0,5163.27
20,100,0.95,0.25,3,0,5205.93
20,100,0.95,0.25,3,0,5179.83
20,100,0.95,0.25,2,0,9409.24
20,100,0.95,0.25,2,0,5198.15
20,100,0.95,0.25,3,1,5300.66
20,100,0.95,0.25,1,0,5753.06
20,100,0.95,0.25,3,0,5561.33
20,100,0.95,0.25,4,0,5924.8
20,100,0.95,0.25,1,0,4905.56
20,100,0.8,0,0,0,4519.56
20,100,0.8,0,0,0,4799.31
20,100,0.8,0,0,0,4488.67
20,100,0.8,0,0,0,4561.64
20,100,0.8,0,0,0,4455.16
20,100,0.8,0,0,0,4577.5
20,100,0.8,0,0,0,4834.15
20,100,0.8,0,0,0,4179.75
20,100,0.8,0,0,0,4615.04
20,100,0.8,0,0,0,4433.96
20,100,0.8,0.05,1,0,4382.03
20,100,0.8,0.05,0,0,3950.69
20,100,0.8,0.05,0,0,4325.35
20,100,0.8,0.05,0,0,4672.65
20,100,0.8,0.05,0,0,4766.6
20,100,0.8,0.05,0,0,4675.36
